????????,???????,???????,????? ??
???,275,201901,62737
???,275,201902,57732
???,275,201903,84275
???,275,201904,102524
???,275,201905,95815
???,275,201906,105398
???,275,201907,97428
???,275,201908,86586
???,275,201909,90819
???,275,201910,101099
???,275,201911,82238
???,275,201912,77387
???,275,202001,67255
???,275,202002,42439
???,275,202003,10570
???,275,202004,6417
???,275,202005,8735
???,275,202006,9717
???,275,202007,11922
???,275,202008,13368
???,275,202009,12426
???,275,202010,12366
???,275,202011,13100
???,275,202012,12102
???,275,202101,12013
???,275,202102,11212
???,275,202103,12321
???,275,202104,12944
???,275,202105,17278
???,275,202106,18159
???,275,202107,21775
???,275,202108,20561
???,275,202109,19227
???,275,202110,21607
???,275,202111,20123
???,275,202112,16805
