연번,시장명,도로명주소,전화번호,위도,경도
1,신기시장,인천광역시  미추홀구 미추홀대로 547 (주안동),032-865-5424,37.44621554,126.6786452
2,용현시장,인천광역시  미추홀구 용삼길 65-27 (용현동),032-886-9318,37.45823789,126.6525966
3,석바위시장,인천광역시  미추홀구 경인로485번길 17-1 (주안동),032-426-6877,37.46014695,126.6927355
4,토지금고시장,인천광역시  미추홀구 낙섬중로 38번길 5,032-887-8985,37.45154989,126.6378022
5,용남시장,인천광역시 미추홀구 인주대로 266번길 17-1 (용현동),032-868-2349,37.45189805,126.6658494
6,제일시장,인천광역시 미추홀구 제일로 37번길 5 (도화동),,37.45919923,126.6743522
7,도화종합시장,인천광역시  미추홀구 석정로 279번길 7 ,032-864-2672,37.46867866,126.6665058
8,인천남부종합시장,인천광역시  미추홀구 인하로 274-30,032-864-1331,37.44737537,126.6783959
9,용일시장,인천광역시  미추홀구 인주대로 184 (용현동),,37.45531952,126.6572227
10,제물포시장,인천광역시 미추홀구 수봉로 33 (숭의동),,37.46317797,126.6567712
11,통일종합시장,인천광역시 미추홀구 인하로 267번길 14 (주안동),,37.44916898,126.6784178
12,숭의평화시장,인천광역시 미추홀구 참외전로 309 (숭의동),032-884-6434,37.46644451,126.6485629
13,공단시장,인천광역시 미추홀구 석정로 399 (주안동),,37.46724157,126.6801373
14,주안자유시장,인천광역시 미추홀구 경인로 326번길 71 (주안동),,37.45551237,126.6760477
15,학익시장,인천광역시 미추홀구 한나루로 400 (학익동),032-873-7378,37.44351498,126.6649652
